State,City,Severity,count
SC,Lexington,Severe,7
CO,Usaf Academy,Moderate,13
CT,Ellington,Moderate,8
MT,Power,Moderate,6
OH,Canton,High,12
GA,Braselton,High,7
PA,Palmyra,Moderate,13
MI,Rochester Hills,Moderate,1
CA,American Canyon,Moderate,64
WI,Milwaukee,High,311
CA,Sherman Oaks,Moderate,450
PA,Fredericksburg,Severe,2
MI,Hudsonville,Moderate,18
NY,West Hempstead,Moderate,70
IN,Hammond,Moderate,58
VA,Virginia Beach,High,126
GA,Albany,Moderate,12
NY,Stittville,Moderate,2
NJ,Riverdale,Severe,1
CA,Duarte,Moderate,94
GA,Tucker,High,49
FL,Fellsmere,Moderate,7
NJ,Toms River,Moderate,35
WY,Rock Springs,Moderate,22
CA,Elk Grove,Low,7
CA,Capistrano Beach,Moderate,11
RI,West Warwick,Moderate,5
PA,Lehighton,Severe,2
MN,Sandstone,Moderate,12
MA,Lawrence,High,7
CO,Westminster,Low,2
WA,Cheney,Moderate,4
TX,Plano,High,18
ID,Spirit Lake,Moderate,2
MD,Parkton,Moderate,36
NY,Southfields,High,2
IL,Riverdale,High,18
VA,Great Falls,Moderate,15
MO,Brookline,Moderate,9
VA,Champlain,Severe,3
CA,Rosemead,High,29
CO,Aurora,Low,7
OH,Elyria,Moderate,8
GA,Newnan,Severe,11
ID,Nampa,Severe,2
IA,Sioux City,Moderate,14
TN,La Vergne,High,8
CA,Snelling,Moderate,12
FL,Crestview,High,11
NV,Zephyr Cove,Moderate,3
FL,Fort Lauderdale,Low,10
PA,Lemoyne,Moderate,27
WA,Stanwood,High,2
PA,Hellertown,Moderate,14
CT,West Hartford,Severe,3
TN,Smyrna,High,12
MA,South Boston,High,1
MI,Ada,Moderate,4
CA,Cantua Creek,Moderate,4
LA,Frierson,Moderate,1
AZ,Apache Junction,Moderate,17
CA,Santa Cruz,Moderate,253
FL,Boynton Beach,Moderate,158
PA,Berlin,Moderate,30
MN,Hayward,High,1
IL,Lansing,Moderate,19
SC,Swansea,Moderate,59
MA,Hopkinton,Moderate,18
CA,Mc Farland,Moderate,39
AR,Wheatley,Moderate,7
FL,Gibsonton,High,23
CO,Evergreen,Moderate,25
GA,Savannah,Moderate,120
VA,Occoquan,Moderate,5
FL,Ocala,Low,3
VA,Lovingston,Moderate,7
UT,Clearfield,High,19
PA,Oreland,Moderate,17
